2.4215686E+0	105.23633E-12	2.4215686E+0	-42.519126E-9	5.4977364E-12	105.54607E-12	2.4215686E+0	-42.532871E-9	5.4586899E-12
2.4352942E+0	105.03253E-12	2.4352942E+0	-42.519389E-9	5.6163334E-12	105.35190E-12	2.4352942E+0	-42.527848E-9	5.9586693E-12
2.4490197E+0	105.22545E-12	2.4490197E+0	-42.519094E-9	5.6538042E-12	105.22602E-12	2.4490197E+0	-42.517502E-9	6.0236273E-12
2.4627452E+0	105.37136E-12	2.4627452E+0	-42.512429E-9	6.0233507E-12	105.40980E-12	2.4627452E+0	-42.506500E-9	6.2784070E-12
2.4764705E+0	105.37274E-12	2.4764705E+0	-42.500542E-9	6.4502063E-12	105.45163E-12	2.4764705E+0	-42.502599E-9	6.4262679E-12
2.4901962E+0	105.23710E-12	2.4901960E+0	-42.493010E-9	5.8937855E-12	105.60927E-12	2.4901960E+0	-42.500304E-9	6.3875233E-12
2.5039215E+0	105.23561E-12	2.5039215E+0	-42.487692E-9	6.0595643E-12	105.36751E-12	2.5039215E+0	-42.501544E-9	6.6693925E-12
2.5176470E+0	105.15025E-12	2.5176470E+0	-42.486384E-9	6.3039287E-12	105.12193E-12	2.5176470E+0	-42.495930E-9	6.3116361E-12
2.5313725E+0	105.30778E-12	2.5313725E+0	-42.482654E-9	6.3851056E-12	105.31369E-12	2.5313725E+0	-42.483226E-9	6.5365803E-12
2.5450981E+0	105.36667E-12	2.5450981E+0	-42.473491E-9	6.5414089E-12	105.34113E-12	2.5450981E+0	-42.471921E-9	6.6074099E-12
2.5588236E+0	105.25561E-12	2.5588236E+0	-42.461352E-9	6.7217039E-12	105.33145E-12	2.5588236E+0	-42.466638E-9	6.3933589E-12
2.5725491E+0	105.19459E-12	2.5725491E+0	-42.454559E-9	6.2156747E-12	105.44686E-12	2.5725491E+0	-42.467423E-9	6.6986278E-12
2.5862746E+0	105.15423E-12	2.5862746E+0	-42.451660E-9	6.4731445E-12	105.86385E-12	2.5862746E+0	-42.463039E-9	6.3179665E-12
2.5999999E+0	105.39311E-12	2.5999999E+0	-42.449276E-9	6.8553431E-12	105.43430E-12	2.5999999E+0	-42.455163E-9	6.2358816E-12
2.6137254E+0	105.42020E-12	2.6137254E+0	-42.443020E-9	6.5629542E-12	105.40540E-12	2.6137254E+0	-42.443929E-9	6.4521743E-12
2.6274509E+0	105.28890E-12	2.6274509E+0	-42.431939E-9	6.4691950E-12	105.62418E-12	2.6274509E+0	-42.428372E-9	6.8138078E-12
2.6411765E+0	105.39132E-12	2.6411765E+0	-42.421412E-9	6.5037207E-12	105.72658E-12	2.6411765E+0	-42.426375E-9	6.5797394E-12
2.6549020E+0	105.21241E-12	2.6549020E+0	-42.415017E-9	6.6628261E-12	105.33242E-12	2.6549020E+0	-42.429633E-9	6.6175984E-12
2.6686275E+0	105.42260E-12	2.6686275E+0	-42.410878E-9	6.1787402E-12	105.76380E-12	2.6686275E+0	-42.425828E-9	6.3893968E-12
2.6823530E+0	105.67723E-12	2.6823530E+0	-42.408658E-9	5.9677129E-12	105.59327E-12	2.6823530E+0	-42.417302E-9	6.3337295E-12
2.6960785E+0	105.72536E-12	2.6960785E+0	-42.402419E-9	6.4695992E-12	105.26842E-12	2.6960785E+0	-42.404928E-9	6.1321204E-12
2.7098041E+0	105.62089E-12	2.7098038E+0	-42.392578E-9	6.1272480E-12	105.19865E-12	2.7098038E+0	-42.393893E-9	6.1372214E-12
2.7235293E+0	105.35370E-12	2.7235293E+0	-42.384478E-9	6.1666319E-12	105.50352E-12	2.7235293E+0	-42.391026E-9	5.9019040E-12
2.7372549E+0	105.12702E-12	2.7372549E+0	-42.378655E-9	5.8134782E-12	105.69767E-12	2.7372549E+0	-42.391552E-9	5.8534306E-12
2.7509804E+0	105.20718E-12	2.7509804E+0	-42.376122E-9	5.4632605E-12	105.29237E-12	2.7509804E+0	-42.391409E-9	5.7672673E-12
2.7647059E+0	105.23431E-12	2.7647059E+0	-42.374232E-9	5.6046535E-12	105.15778E-12	2.7647059E+0	-42.382140E-9	5.7339775E-12
2.7784314E+0	105.14672E-12	2.7784314E+0	-42.369130E-9	5.4679555E-12	105.07769E-12	2.7784314E+0	-42.371596E-9	5.7000620E-12
2.7921569E+0	105.83782E-12	2.7921569E+0	-42.358160E-9	5.3854946E-12	105.28296E-12	2.7921569E+0	-42.363780E-9	5.4064162E-12
2.8058825E+0	105.28371E-12	2.8058825E+0	-42.350681E-9	5.5354575E-12	105.27743E-12	2.8058825E+0	-42.362029E-9	5.3847963E-12
2.8196080E+0	105.21916E-12	2.8196077E+0	-42.347292E-9	5.5784149E-12	105.30373E-12	2.8196077E+0	-42.361609E-9	5.3986607E-12
2.8333333E+0	105.15471E-12	2.8333333E+0	-42.346279E-9	5.4257146E-12	105.05503E-12	2.8333333E+0	-42.358142E-9	5.2911633E-12
2.8470588E+0	105.25486E-12	2.8470588E+0	-42.343405E-9	5.0391475E-12	105.11586E-12	2.8470588E+0	-42.350585E-9	4.9906511E-12
2.8607843E+0	105.24490E-12	2.8607843E+0	-42.337927E-9	5.1316859E-12	105.03197E-12	2.8607843E+0	-42.341007E-9	5.3625411E-12
2.8745098E+0	105.52411E-12	2.8745098E+0	-42.327727E-9	4.9252399E-12	105.61302E-12	2.8745098E+0	-42.331227E-9	5.1415755E-12
2.8882353E+0	105.24988E-12	2.8882353E+0	-42.321442E-9	5.0301161E-12	105.47194E-12	2.8882353E+0	-42.330921E-9	5.1367109E-12
2.9019608E+0	105.08812E-12	2.9019608E+0	-42.319620E-9	5.0557778E-12	105.45468E-12	2.9019608E+0	-42.330917E-9	5.2071446E-12
2.9156864E+0	105.06850E-12	2.9156864E+0	-42.319865E-9	4.9174892E-12	105.43823E-12	2.9156864E+0	-42.329567E-9	4.9402444E-12
2.9294119E+0	105.26176E-12	2.9294116E+0	-42.316817E-9	4.8978222E-12	105.10050E-12	2.9294116E+0	-42.322906E-9	4.8488327E-12
2.9431372E+0	105.52207E-12	2.9431372E+0	-42.309754E-9	4.8743874E-12	105.16343E-12	2.9431372E+0	-42.312596E-9	4.8765653E-12
2.9568627E+0	105.92990E-12	2.9568627E+0	-42.296250E-9	4.7314166E-12	105.20369E-12	2.9568627E+0	-42.304414E-9	4.8411882E-12
2.9705882E+0	105.86509E-12	2.9705882E+0	-42.287979E-9	4.6922748E-12	105.40484E-12	2.9705882E+0	-42.303775E-9	4.8002336E-12
2.9843137E+0	105.64805E-12	2.9843137E+0	-42.286729E-9	4.9466399E-12	105.49556E-12	2.9843137E+0	-42.306862E-9	4.8607186E-12
2.9980392E+0	105.45700E-12	2.9980392E+0	-42.287660E-9	4.7797040E-12	105.18213E-12	2.9980392E+0	-42.306457E-9	4.6274247E-12
3.0117648E+0	105.24560E-12	3.0117648E+0	-42.291440E-9	4.9915462E-12	105.17664E-12	3.0117648E+0	-42.296726E-9	4.8664709E-12
3.0254903E+0	105.36799E-12	3.0254903E+0	-42.286441E-9	4.8129478E-12	105.08673E-12	3.0254903E+0	-42.285752E-9	4.8538534E-12
3.0392158E+0	105.55174E-12	3.0392158E+0	-42.275776E-9	4.5120453E-12	105.36831E-12	3.0392158E+0	-42.277733E-9	4.5670009E-12
3.0529411E+0	105.36833E-12	3.0529411E+0	-42.268745E-9	4.4228336E-12	105.35946E-12	3.0529411E+0	-42.280245E-9	4.8219237E-12
3.0666666E+0	105.37656E-12	3.0666666E+0	-42.262155E-9	4.5869471E-12	105.24117E-12	3.0666666E+0	-42.282647E-9	4.3261011E-12
3.0803921E+0	105.23975E-12	3.0803921E+0	-42.263700E-9	4.7794672E-12	105.15483E-12	3.0803921E+0	-42.277701E-9	4.6733316E-12
3.0941176E+0	105.28618E-12	3.0941176E+0	-42.263746E-9	4.7341003E-12	105.02649E-12	3.0941176E+0	-42.268649E-9	4.6490251E-12
3.1078432E+0	105.41867E-12	3.1078432E+0	-42.257692E-9	4.5275407E-12	105.29837E-12	3.1078432E+0	-42.258591E-9	4.6739734E-12
3.1215687E+0	105.28420E-12	3.1215687E+0	-42.247873E-9	4.7235848E-12	105.32659E-12	3.1215687E+0	-42.254403E-9	4.4361142E-12
3.1352942E+0	105.14573E-12	3.1352942E+0	-42.243432E-9	4.5297663E-12	105.65557E-12	3.1352942E+0	-42.257422E-9	4.4866246E-12
3.1490197E+0	105.07055E-12	3.1490197E+0	-42.242114E-9	4.7436608E-12	105.18379E-12	3.1490197E+0	-42.258037E-9	4.5924857E-12
3.1627452E+0	105.19757E-12	3.1627450E+0	-42.242224E-9	4.6874709E-12	105.13575E-12	3.1627450E+0	-42.251436E-9	4.8194534E-12
3.1764705E+0	105.29168E-12	3.1764705E+0	-42.239432E-9	4.5500804E-12	105.23511E-12	3.1764705E+0	-42.240821E-9	4.9909191E-12
3.1901960E+0	105.46634E-12	3.1901960E+0	-42.228002E-9	4.7976406E-12	105.15300E-12	3.1901960E+0	-42.233598E-9	4.6099053E-12
3.2039216E+0	105.25671E-12	3.2039216E+0	-42.218975E-9	4.6627468E-12	105.50572E-12	3.2039216E+0	-42.230056E-9	4.7646687E-12
3.2176471E+0	105.23778E-12	3.2176471E+0	-42.214307E-9	4.5310795E-12	105.27487E-12	3.2176471E+0	-42.231775E-9	4.7883988E-12
3.2313726E+0	105.04262E-12	3.2313726E+0	-42.214729E-9	4.5143004E-12	105.35443E-12	3.2313726E+0	-42.229072E-9	4.4659905E-12
3.2450981E+0	105.08414E-12	3.2450981E+0	-42.216961E-9	4.6266268E-12	105.17760E-12	3.2450981E+0	-42.223764E-9	4.4657463E-12
3.2588236E+0	105.21187E-12	3.2588236E+0	-42.213376E-9	4.7449909E-12	105.32641E-12	3.2588236E+0	-42.213120E-9	4.8210134E-12
3.2725492E+0	105.40521E-12	3.2725489E+0	-42.203567E-9	4.9262430E-12	105.86263E-12	3.2725489E+0	-42.204601E-9	4.8236406E-12
3.2862744E+0	105.22972E-12	3.2862744E+0	-42.195161E-9	4.5878626E-12	105.47481E-12	3.2862744E+0	-42.205329E-9	4.6649529E-12
3.3000000E+0	105.35778E-12	3.3000000E+0	-42.187882E-9	4.4138699E-12	105.40367E-12	3.3000000E+0	-42.203787E-9	4.7299911E-12
3.3137255E+0	105.79421E-12	3.3137255E+0	-42.183963E-9	4.5701585E-12	105.20822E-12	3.3137255E+0	-42.202224E-9	4.6062299E-12
3.3274510E+0	105.43459E-12	3.3274510E+0	-42.182620E-9	4.4048732E-12	105.12640E-12	3.3274510E+0	-42.194706E-9	4.7568702E-12
3.3411765E+0	105.25202E-12	3.3411765E+0	-42.181483E-9	4.5026821E-12	105.25485E-12	3.3411765E+0	-42.186553E-9	4.7158323E-12
3.3549020E+0	105.38475E-12	3.3549020E+0	-42.173564E-9	4.8905623E-12	105.13371E-12	3.3549020E+0	-42.182204E-9	4.9721373E-12
3.3686275E+0	105.19038E-12	3.3686275E+0	-42.166732E-9	4.6239783E-12	105.27977E-12	3.3686275E+0	-42.179199E-9	4.6387863E-12
3.3823531E+0	105.16669E-12	3.3823528E+0	-42.162185E-9	4.5564377E-12	105.35785E-12	3.3823528E+0	-42.176715E-9	4.7926949E-12
3.3960783E+0	104.99982E-12	3.3960783E+0	-42.162146E-9	4.5347445E-12	105.14676E-12	3.3960783E+0	-42.176172E-9	4.7026090E-12
3.4098039E+0	105.25456E-12	3.4098039E+0	-42.159421E-9	4.7643799E-12	105.33979E-12	3.4098039E+0	-42.166931E-9	4.7156138E-12
3.4235294E+0	105.76370E-12	3.4235294E+0	-42.149622E-9	4.8852853E-12	105.25227E-12	3.4235294E+0	-42.157929E-9	5.0621005E-12
3.4372549E+0	105.42217E-12	3.4372549E+0	-42.142279E-9	5.0848488E-12	105.72636E-12	3.4372549E+0	-42.148343E-9	4.6852205E-12
3.4509804E+0	105.18613E-12	3.4509804E+0	-42.134413E-9	4.6490112E-12	105.27670E-12	3.4509804E+0	-42.148546E-9	4.7372739E-12
3.4647059E+0	105.18928E-12	3.4647059E+0	-42.130438E-9	4.6656190E-12	105.31086E-12	3.4647059E+0	-42.147704E-9	4.8350954E-12
3.4784315E+0	105.18085E-12	3.4784315E+0	-42.132157E-9	4.8573138E-12	105.16848E-12	3.4784315E+0	-42.145199E-9	4.8446980E-12
3.4921570E+0	105.12773E-12	3.4921567E+0	-42.132541E-9	4.9132707E-12	105.03158E-12	3.4921567E+0	-42.137913E-9	4.8337979E-12
3.5058823E+0	105.39440E-12	3.5058823E+0	-42.125791E-9	4.9583189E-12	105.06478E-12	3.5058823E+0	-42.127894E-9	4.8873718E-12
3.5196078E+0	105.34405E-12	3.5196078E+0	-42.112106E-9	5.0560055E-12	105.19940E-12	3.5196078E+0	-42.121471E-9	4.8658352E-12
3.5333333E+0	105.17135E-12	3.5333333E+0	-42.102528E-9	4.9234041E-12	105.26871E-12	3.5333333E+0	-42.118788E-9	4.9216009E-12
3.5470588E+0	105.02278E-12	3.5470588E+0	-42.099597E-9	5.2662891E-12	105.15642E-12	3.5470588E+0	-42.117481E-9	5.2522934E-12
3.5607843E+0	105.33136E-12	3.5607843E+0	-42.098968E-9	5.1583742E-12	105.12183E-12	3.5607843E+0	-42.111360E-9	5.2406408E-12
3.5745099E+0	105.29477E-12	3.5745099E+0	-42.098165E-9	5.0250884E-12	105.14423E-12	3.5745099E+0	-42.101860E-9	4.9927254E-12
3.5882354E+0	105.52963E-12	3.5882354E+0	-42.088416E-9	5.1330815E-12	105.25661E-12	3.5882354E+0	-42.093141E-9	5.3090709E-12
3.6019609E+0	105.43132E-12	3.6019609E+0	-42.077541E-9	5.2617797E-12	105.14024E-12	3.6019609E+0	-42.088143E-9	5.2313653E-12
3.6156864E+0	105.37476E-12	3.6156862E+0	-42.068926E-9	5.1674012E-12	105.15543E-12	3.6156862E+0	-42.085468E-9	5.3411615E-12
3.6294117E+0	105.14161E-12	3.6294117E+0	-42.066830E-9	5.4274220E-12	105.18518E-12	3.6294117E+0	-42.080213E-9	5.5435114E-12
3.6431372E+0	105.05010E-12	3.6431372E+0	-42.065455E-9	5.4391990E-12	105.16722E-12	3.6431372E+0	-42.073069E-9	5.3158888E-12
3.6568627E+0	105.55464E-12	3.6568627E+0	-42.057700E-9	5.4881464E-12	105.04530E-12	3.6568627E+0	-42.064055E-9	5.4823806E-12
3.6705883E+0	105.21489E-12	3.6705883E+0	-42.046441E-9	5.6008323E-12	105.00983E-12	3.6705883E+0	-42.054772E-9	5.5443605E-12
3.6843138E+0	105.23930E-12	3.6843138E+0	-42.037371E-9	5.6226048E-12	105.22259E-12	3.6843138E+0	-42.047141E-9	5.7169872E-12
3.6980393E+0	105.08501E-12	3.6980393E+0	-42.030837E-9	5.6510643E-12	105.48627E-12	3.6980393E+0	-42.042476E-9	6.0784854E-12
3.7117648E+0	105.36742E-12	3.7117648E+0	-42.026130E-9	5.8293643E-12	105.27094E-12	3.7117648E+0	-42.039492E-9	5.7333955E-12
3.7254903E+0	105.48500E-12	3.7254901E+0	-42.023427E-9	5.9679739E-12	105.08400E-12	3.7254901E+0	-42.033911E-9	5.8462562E-12
3.7392156E+0	105.40347E-12	3.7392156E+0	-42.012829E-9	6.2736183E-12	105.00724E-12	3.7392156E+0	-42.021874E-9	5.9835062E-12
3.7529411E+0	105.22271E-12	3.7529411E+0	-42.003428E-9	5.7260030E-12	105.22860E-12	3.7529411E+0	-42.008590E-9	5.9579785E-12
3.7666667E+0	105.34434E-12	3.7666667E+0	-41.992081E-9	6.2029088E-12	105.22767E-12	3.7666667E+0	-42.002100E-9	5.9658233E-12
3.7803922E+0	105.38621E-12	3.7803922E+0	-41.984016E-9	6.2289700E-12	105.11247E-12	3.7803922E+0	-41.996973E-9	6.1133117E-12
3.7941177E+0	105.13507E-12	3.7941177E+0	-41.980467E-9	6.2001723E-12	105.13920E-12	3.7941177E+0	-41.991086E-9	6.2667913E-12
3.8078432E+0	105.39164E-12	3.8078432E+0	-41.975110E-9	6.4534571E-12	105.06409E-12	3.8078432E+0	-41.983476E-9	6.4915239E-12
3.8215687E+0	105.80471E-12	3.8215687E+0	-41.965770E-9	6.4026280E-12	105.04279E-12	3.8215687E+0	-41.971944E-9	6.4267354E-12
3.8352942E+0	105.39145E-12	3.8352940E+0	-41.954099E-9	6.5090017E-12	105.01371E-12	3.8352940E+0	-41.960941E-9	6.3599629E-12
3.8490195E+0	105.52859E-12	3.8490195E+0	-41.942279E-9	6.5899630E-12	105.20040E-12	3.8490195E+0	-41.951072E-9	6.5377768E-12
3.8627450E+0	105.21873E-12	3.8627450E+0	-41.933330E-9	6.3560099E-12	105.30737E-12	3.8627450E+0	-41.942990E-9	6.5989826E-12
3.8764706E+0	105.32619E-12	3.8764706E+0	-41.926167E-9	6.4591409E-12	105.15672E-12	3.8764706E+0	-41.936602E-9	6.7588157E-12
3.8901961E+0	105.25189E-12	3.8901961E+0	-41.920050E-9	7.0455308E-12	105.06727E-12	3.8901961E+0	-41.925968E-9	6.6938287E-12
3.9039216E+0	105.32165E-12	3.9039216E+0	-41.910329E-9	7.2051523E-12	104.94595E-12	3.9039216E+0	-41.912838E-9	7.0253317E-12
3.9176471E+0	105.32090E-12	3.9176471E+0	-41.897366E-9	6.9108473E-12	105.04640E-12	3.9176471E+0	-41.900019E-9	7.2327196E-12
3.9313726E+0	105.34660E-12	3.9313726E+0	-41.884380E-9	7.1252847E-12	105.12033E-12	3.9313726E+0	-41.889013E-9	7.1766178E-12
3.9450982E+0	105.13868E-12	3.9450979E+0	-41.874632E-9	7.1401305E-12	105.17211E-12	3.9450979E+0	-41.882753E-9	7.1566455E-12
3.9588234E+0	105.16220E-12	3.9588234E+0	-41.867906E-9	7.2679068E-12	105.12729E-12	3.9588234E+0	-41.875332E-9	7.4247336E-12
3.9725490E+0	105.15326E-12	3.9725490E+0	-41.858844E-9	7.2849877E-12	104.97620E-12	3.9725490E+0	-41.861878E-9	7.4278673E-12
3.9862745E+0	105.44365E-12	3.9862745E+0	-41.844867E-9	7.4466622E-12	104.93315E-12	3.9862745E+0	-41.844860E-9	7.4085078E-12
4.0000000E+0	105.33982E-12	4.0000000E+0	-41.829399E-9	7.6647386E-12	105.24377E-12	4.0000000E+0	-41.827498E-9	7.8005571E-12
