2.4215686E+0	101.56800E-12	2.4215686E+0	-246.39144E-9	7.4676428E-12	101.49148E-12	2.4215686E+0	-246.42821E-9	7.4181512E-12
2.4352942E+0	101.54519E-12	2.4352942E+0	-246.37305E-9	7.2894338E-12	101.54389E-12	2.4352942E+0	-246.41488E-9	7.4391803E-12
2.4490197E+0	101.60261E-12	2.4490197E+0	-246.35341E-9	8.1297902E-12	101.40479E-12	2.4490197E+0	-246.39357E-9	8.3106577E-12
2.4627452E+0	101.70163E-12	2.4627452E+0	-246.33422E-9	7.9058001E-12	101.24803E-12	2.4627452E+0	-246.37552E-9	8.1820922E-12
2.4764705E+0	101.80713E-12	2.4764705E+0	-246.31242E-9	9.0355449E-12	101.13271E-12	2.4764705E+0	-246.35142E-9	9.4235756E-12
2.4901962E+0	101.73566E-12	2.4901960E+0	-246.28804E-9	8.8635479E-12	101.12643E-12	2.4901960E+0	-246.32322E-9	8.9166409E-12
2.5039215E+0	102.06430E-12	2.5039215E+0	-246.26013E-9	10.181177E-12	101.16706E-12	2.5039215E+0	-246.29350E-9	10.297625E-12
2.5176470E+0	102.08821E-12	2.5176470E+0	-246.22875E-9	10.238969E-12	101.24226E-12	2.5176470E+0	-246.26013E-9	10.061846E-12
2.5313725E+0	102.59957E-12	2.5313725E+0	-246.19476E-9	10.830318E-12	101.28425E-12	2.5313725E+0	-246.22739E-9	11.324643E-12
2.5450981E+0	102.52314E-12	2.5450981E+0	-246.15181E-9	11.138648E-12	101.14835E-12	2.5450981E+0	-246.19357E-9	10.990240E-12
2.5588236E+0	101.97470E-12	2.5588236E+0	-246.12339E-9	10.573076E-12	101.41327E-12	2.5588236E+0	-246.16003E-9	11.097357E-12
2.5725491E+0	102.19248E-12	2.5725491E+0	-246.08954E-9	10.379492E-12	101.24763E-12	2.5725491E+0	-246.13217E-9	10.140256E-12
2.5862746E+0	101.77489E-12	2.5862746E+0	-246.06339E-9	9.2507937E-12	101.49750E-12	2.5862746E+0	-246.10432E-9	10.288714E-12
2.5999999E+0	101.97572E-12	2.5999999E+0	-246.03787E-9	9.1761121E-12	101.41610E-12	2.5999999E+0	-246.07877E-9	8.4239135E-12
2.6137254E+0	101.55622E-12	2.6137254E+0	-246.01880E-9	7.5028317E-12	101.50813E-12	2.6137254E+0	-246.05870E-9	8.2860767E-12
2.6274509E+0	101.68059E-12	2.6274509E+0	-246.00251E-9	7.1031319E-12	101.03296E-12	2.6274509E+0	-246.03810E-9	6.8162117E-12
2.6411765E+0	101.53157E-12	2.6411765E+0	-245.98660E-9	6.1057570E-12	101.54635E-12	2.6411765E+0	-246.02045E-9	6.8932807E-12
2.6549020E+0	101.53275E-12	2.6549020E+0	-245.97279E-9	5.5376034E-12	101.09231E-12	2.6549020E+0	-246.00516E-9	5.5272202E-12
2.6686275E+0	101.54126E-12	2.6686275E+0	-245.96034E-9	4.9019907E-12	101.70623E-12	2.6686275E+0	-245.99058E-9	4.9417133E-12
2.6823530E+0	101.88624E-12	2.6823530E+0	-245.94462E-9	4.2843710E-12	101.38214E-12	2.6823530E+0	-245.97912E-9	4.4246573E-12
2.6960785E+0	101.91600E-12	2.6960785E+0	-245.93157E-9	4.2365144E-12	101.51060E-12	2.6960785E+0	-245.96838E-9	4.1553722E-12
2.7098041E+0	101.72573E-12	2.7098038E+0	-245.92106E-9	3.6546278E-12	101.39520E-12	2.7098038E+0	-245.95977E-9	3.8565848E-12
2.7235293E+0	101.41812E-12	2.7235293E+0	-245.91409E-9	3.4136797E-12	101.12566E-12	2.7235293E+0	-245.95164E-9	3.4916568E-12
2.7372549E+0	101.30036E-12	2.7372549E+0	-245.90724E-9	3.8868561E-12	101.59051E-12	2.7372549E+0	-245.94144E-9	3.6675550E-12
2.7509804E+0	101.21558E-12	2.7509804E+0	-245.90153E-9	3.0121279E-12	101.19734E-12	2.7509804E+0	-245.93342E-9	3.1376930E-12
2.7647059E+0	101.25142E-12	2.7647059E+0	-245.89704E-9	3.7156927E-12	101.73053E-12	2.7647059E+0	-245.92447E-9	3.6841771E-12
2.7784314E+0	101.49236E-12	2.7784314E+0	-245.89124E-9	3.1958034E-12	101.42370E-12	2.7784314E+0	-245.91878E-9	3.3344677E-12
2.7921569E+0	101.48959E-12	2.7921569E+0	-245.88397E-9	3.7148396E-12	101.50947E-12	2.7921569E+0	-245.91196E-9	3.4458335E-12
2.8058825E+0	101.66929E-12	2.8058825E+0	-245.87337E-9	3.3739196E-12	101.55480E-12	2.8058825E+0	-245.90739E-9	3.1647517E-12
2.8196080E+0	101.46052E-12	2.8196077E+0	-245.86726E-9	3.7603514E-12	101.39650E-12	2.8196077E+0	-245.90008E-9	3.7844857E-12
2.8333333E+0	101.75894E-12	2.8333333E+0	-245.85432E-9	3.1789480E-12	101.53432E-12	2.8333333E+0	-245.89437E-9	3.1319192E-12
2.8470588E+0	101.42466E-12	2.8470588E+0	-245.85174E-9	3.8367655E-12	101.02098E-12	2.8470588E+0	-245.88388E-9	3.8112374E-12
2.8607843E+0	102.15230E-12	2.8607843E+0	-245.83599E-9	3.5415520E-12	101.55589E-12	2.8607843E+0	-245.87450E-9	3.4633841E-12
2.8745098E+0	101.21706E-12	2.8745098E+0	-245.83596E-9	4.2645787E-12	101.13567E-12	2.8745098E+0	-245.86413E-9	4.2789153E-12
2.8882353E+0	101.50563E-12	2.8882353E+0	-245.82562E-9	4.2013524E-12	101.39987E-12	2.8882353E+0	-245.85205E-9	3.9425884E-12
2.9019608E+0	101.44629E-12	2.9019608E+0	-245.81843E-9	4.3737102E-12	101.21697E-12	2.9019608E+0	-245.84037E-9	4.6847587E-12
2.9156864E+0	101.55120E-12	2.9156864E+0	-245.80538E-9	4.3322203E-12	101.49716E-12	2.9156864E+0	-245.82732E-9	4.2919093E-12
2.9294119E+0	101.59635E-12	2.9294116E+0	-245.79666E-9	4.6289864E-12	101.71736E-12	2.9294116E+0	-245.82039E-9	4.9795190E-12
2.9431372E+0	101.74479E-12	2.9431372E+0	-245.78549E-9	4.5990768E-12	101.19657E-12	2.9431372E+0	-245.81064E-9	4.1927395E-12
2.9568627E+0	101.84074E-12	2.9568627E+0	-245.76983E-9	4.5728599E-12	101.62442E-12	2.9568627E+0	-245.80069E-9	4.7697211E-12
2.9705882E+0	101.63349E-12	2.9705882E+0	-245.75905E-9	4.4468288E-12	101.36231E-12	2.9705882E+0	-245.79327E-9	3.9286244E-12
2.9843137E+0	101.63662E-12	2.9843137E+0	-245.74740E-9	3.9022089E-12	101.40535E-12	2.9843137E+0	-245.78162E-9	4.5992099E-12
2.9980392E+0	101.59468E-12	2.9980392E+0	-245.73791E-9	3.8423145E-12	101.16420E-12	2.9980392E+0	-245.77085E-9	4.2268884E-12
3.0117648E+0	101.67803E-12	3.0117648E+0	-245.72819E-9	3.3732776E-12	101.35798E-12	3.0117648E+0	-245.75917E-9	3.5517392E-12
3.0254903E+0	101.42363E-12	3.0254903E+0	-245.72282E-9	3.6692806E-12	101.33547E-12	3.0254903E+0	-245.74717E-9	3.7387337E-12
3.0392158E+0	101.50596E-12	3.0392158E+0	-245.71861E-9	3.2282991E-12	101.11944E-12	3.0392158E+0	-245.73885E-9	2.7936722E-12
3.0529411E+0	101.16640E-12	3.0529411E+0	-245.71494E-9	3.1083482E-12	101.46638E-12	3.0529411E+0	-245.72913E-9	3.5279121E-12
3.0666666E+0	101.40801E-12	3.0666666E+0	-245.71241E-9	2.6841853E-12	101.41064E-12	3.0666666E+0	-245.72554E-9	2.5579519E-12
3.0803921E+0	101.30177E-12	3.0803921E+0	-245.70775E-9	2.8633550E-12	101.56948E-12	3.0803921E+0	-245.71898E-9	3.3404271E-12
3.0941176E+0	101.69943E-12	3.0941176E+0	-245.70213E-9	2.2832732E-12	101.74516E-12	3.0941176E+0	-245.71762E-9	1.8193017E-12
3.1078432E+0	101.55212E-12	3.1078432E+0	-245.69633E-9	3.0329344E-12	101.69995E-12	3.1078432E+0	-245.71537E-9	2.7316201E-12
3.1215687E+0	101.44040E-12	3.1215687E+0	-245.68968E-9	1.7168572E-12	101.47923E-12	3.1215687E+0	-245.71611E-9	1.3988794E-12
3.1352942E+0	101.48468E-12	3.1352942E+0	-245.68152E-9	2.3065603E-12	101.52978E-12	3.1352942E+0	-245.70883E-9	2.7334788E-12
3.1490197E+0	101.16540E-12	3.1490197E+0	-245.67731E-9	1.6381771E-12	101.48270E-12	3.1490197E+0	-245.70707E-9	2.2881332E-12
3.1627452E+0	101.25967E-12	3.1627450E+0	-245.67458E-9	1.7838313E-12	101.25591E-12	3.1627450E+0	-245.70130E-9	2.3472621E-12
3.1764705E+0	101.16807E-12	3.1764705E+0	-245.67478E-9	1.5728971E-12	101.52409E-12	3.1764705E+0	-245.69630E-9	1.5789128E-12
3.1901960E+0	101.26267E-12	3.1901960E+0	-245.67569E-9	1.7794504E-12	100.88072E-12	3.1901960E+0	-245.68797E-9	1.8228730E-12
3.2039216E+0	101.14555E-12	3.2039216E+0	-245.67856E-9	1.5884467E-12	102.18988E-12	3.2039216E+0	-245.68229E-9	1.2770577E-12
3.2176471E+0	101.32459E-12	3.2176471E+0	-245.68126E-9	1.2176340E-12	101.08360E-12	3.2176471E+0	-245.68175E-9	1.3187837E-12
3.2313726E+0	101.39638E-12	3.2313726E+0	-245.68001E-9	1.7533710E-12	102.41400E-12	3.2313726E+0	-245.67726E-9	1.6824861E-12
3.2450981E+0	101.57297E-12	3.2450981E+0	-245.67706E-9	1.2241261E-12	101.53303E-12	3.2450981E+0	-245.68516E-9	1.7380327E-12
3.2588236E+0	101.47373E-12	3.2588236E+0	-245.67271E-9	1.7584917E-12	101.96196E-12	3.2588236E+0	-245.68106E-9	1.0091887E-12
3.2725492E+0	101.55356E-12	3.2725489E+0	-245.66734E-9	1.1434216E-12	101.78140E-12	3.2725489E+0	-245.68681E-9	1.3539290E-12
3.2862744E+0	101.32353E-12	3.2862744E+0	-245.66185E-9	1.9657661E-12	101.39537E-12	3.2862744E+0	-245.68692E-9	1.5408888E-12
3.3000000E+0	101.21146E-12	3.3000000E+0	-245.65807E-9	1.6826923E-12	101.53167E-12	3.3000000E+0	-245.68453E-9	1.7346514E-12
3.3137255E+0	101.21412E-12	3.3137255E+0	-245.65713E-9	1.4657246E-12	101.28150E-12	3.3137255E+0	-245.68345E-9	1.5228746E-12
3.3274510E+0	100.93759E-12	3.3274510E+0	-245.65918E-9	1.4994519E-12	101.36979E-12	3.3274510E+0	-245.67916E-9	1.5589737E-12
3.3411765E+0	101.09349E-12	3.3411765E+0	-245.66287E-9	1.2223923E-12	101.47354E-12	3.3411765E+0	-245.67541E-9	1.0313253E-12
3.3549020E+0	101.15223E-12	3.3549020E+0	-245.66612E-9	1.3363623E-12	101.48280E-12	3.3549020E+0	-245.67305E-9	1.1163792E-12
3.3686275E+0	101.31944E-12	3.3686275E+0	-245.66813E-9	1.6107169E-12	101.39657E-12	3.3686275E+0	-245.66901E-9	1.5508483E-12
3.3823531E+0	101.53534E-12	3.3823528E+0	-245.66802E-9	2.3616549E-12	101.23077E-12	3.3823528E+0	-245.66774E-9	1.0806995E-12
3.3960783E+0	101.39249E-12	3.3960783E+0	-245.66583E-9	978.05358E-15	101.63721E-12	3.3960783E+0	-245.66512E-9	2.0713364E-12
3.4098039E+0	101.56279E-12	3.4098039E+0	-245.66100E-9	2.1881648E-12	101.56332E-12	3.4098039E+0	-245.66535E-9	861.07683E-15
3.4235294E+0	101.38042E-12	3.4235294E+0	-245.65594E-9	758.77558E-15	101.64222E-12	3.4235294E+0	-245.66447E-9	1.9996968E-12
3.4372549E+0	101.49605E-12	3.4372549E+0	-245.64983E-9	2.3285796E-12	101.35796E-12	3.4372549E+0	-245.66538E-9	736.52185E-15
3.4509804E+0	101.28248E-12	3.4509804E+0	-245.64608E-9	1.0061455E-12	101.62517E-12	3.4509804E+0	-245.66501E-9	1.9472791E-12
3.4647059E+0	101.29871E-12	3.4647059E+0	-245.64326E-9	1.8477490E-12	101.48382E-12	3.4647059E+0	-245.66538E-9	1.2745726E-12
3.4784315E+0	101.15614E-12	3.4784315E+0	-245.64150E-9	1.5424569E-12	101.47068E-12	3.4784315E+0	-245.66401E-9	1.6423809E-12
3.4921570E+0	101.26627E-12	3.4921567E+0	-245.64048E-9	1.2858910E-12	101.39994E-12	3.4921567E+0	-245.66032E-9	1.3742190E-12
3.5058823E+0	101.33454E-12	3.5058823E+0	-245.63951E-9	1.4918450E-12	101.36227E-12	3.5058823E+0	-245.65543E-9	1.5494935E-12
3.5196078E+0	101.14394E-12	3.5196078E+0	-245.64201E-9	1.4598220E-12	101.46555E-12	3.5196078E+0	-245.65196E-9	1.4937216E-12
3.5333333E+0	101.33716E-12	3.5333333E+0	-245.64378E-9	1.6199018E-12	101.18675E-12	3.5333333E+0	-245.64781E-9	1.6141433E-12
3.5470588E+0	101.42388E-12	3.5470588E+0	-245.64520E-9	1.5668953E-12	101.55367E-12	3.5470588E+0	-245.64477E-9	2.0026968E-12
3.5607843E+0	101.28386E-12	3.5607843E+0	-245.64375E-9	1.6257269E-12	101.35109E-12	3.5607843E+0	-245.64309E-9	1.1893388E-12
3.5745099E+0	101.35298E-12	3.5745099E+0	-245.64179E-9	1.4873327E-12	101.74467E-12	3.5745099E+0	-245.64204E-9	1.9600790E-12
3.5882354E+0	101.51723E-12	3.5882354E+0	-245.63758E-9	1.8110939E-12	101.53872E-12	3.5882354E+0	-245.64471E-9	1.4328027E-12
3.6019609E+0	101.33416E-12	3.6019609E+0	-245.63244E-9	1.5698322E-12	101.38754E-12	3.6019609E+0	-245.64403E-9	1.8493176E-12
3.6156864E+0	101.46031E-12	3.6156862E+0	-245.62792E-9	1.6956001E-12	101.58719E-12	3.6156862E+0	-245.64415E-9	1.6901323E-12
3.6294117E+0	101.38808E-12	3.6294117E+0	-245.62237E-9	1.5462809E-12	101.34777E-12	3.6294117E+0	-245.64153E-9	1.6017138E-12
3.6431372E+0	101.23576E-12	3.6431372E+0	-245.61993E-9	1.3748969E-12	101.42986E-12	3.6431372E+0	-245.63889E-9	1.9824429E-12
3.6568627E+0	101.20495E-12	3.6568627E+0	-245.61845E-9	1.9574067E-12	101.26050E-12	3.6568627E+0	-245.63403E-9	1.7365316E-12
3.6705883E+0	101.12877E-12	3.6705883E+0	-245.61925E-9	1.5071082E-12	101.35474E-12	3.6705883E+0	-245.62857E-9	1.7758308E-12
3.6843138E+0	101.32768E-12	3.6843138E+0	-245.61945E-9	1.9703865E-12	101.44266E-12	3.6843138E+0	-245.62377E-9	1.7783543E-12
3.6980393E+0	101.26084E-12	3.6980393E+0	-245.61933E-9	1.8760898E-12	101.40710E-12	3.6980393E+0	-245.61874E-9	1.7041678E-12
3.7117648E+0	101.39663E-12	3.7117648E+0	-245.61803E-9	1.6216654E-12	101.61773E-12	3.7117648E+0	-245.61575E-9	2.0526202E-12
3.7254903E+0	101.42814E-12	3.7254901E+0	-245.61575E-9	1.9395360E-12	101.17096E-12	3.7254901E+0	-245.61112E-9	2.1701128E-12
3.7392156E+0	101.39146E-12	3.7392156E+0	-245.61146E-9	1.8918742E-12	101.84292E-12	3.7392156E+0	-245.60495E-9	1.9005700E-12
3.7529411E+0	101.42591E-12	3.7529411E+0	-245.60674E-9	1.9955812E-12	101.61216E-12	3.7529411E+0	-245.60842E-9	2.0721690E-12
3.7666667E+0	101.41873E-12	3.7666667E+0	-245.59986E-9	2.1019074E-12	101.68839E-12	3.7666667E+0	-245.60856E-9	2.0509935E-12
3.7803922E+0	101.52788E-12	3.7803922E+0	-245.59347E-9	2.5433555E-12	101.32346E-12	3.7803922E+0	-245.60669E-9	1.9346792E-12
3.7941177E+0	101.26545E-12	3.7941177E+0	-245.58847E-9	1.6634553E-12	101.65301E-12	3.7941177E+0	-245.60219E-9	2.3821574E-12
3.8078432E+0	101.28726E-12	3.8078432E+0	-245.58469E-9	2.2400395E-12	101.19220E-12	3.8078432E+0	-245.59952E-9	2.1028292E-12
3.8215687E+0	101.27393E-12	3.8215687E+0	-245.58207E-9	2.0421690E-12	101.41892E-12	3.8215687E+0	-245.59387E-9	2.2776809E-12
3.8352942E+0	101.34418E-12	3.8352940E+0	-245.57986E-9	2.6541291E-12	101.37764E-12	3.8352940E+0	-245.58679E-9	2.3048165E-12
3.8490195E+0	101.31902E-12	3.8490195E+0	-245.57713E-9	2.1737132E-12	101.21381E-12	3.8490195E+0	-245.57838E-9	2.3850975E-12
3.8627450E+0	101.38224E-12	3.8627450E+0	-245.57397E-9	2.7346151E-12	101.39764E-12	3.8627450E+0	-245.57218E-9	2.4493821E-12
3.8764706E+0	101.48721E-12	3.8764706E+0	-245.57025E-9	2.5774372E-12	101.20770E-12	3.8764706E+0	-245.56422E-9	2.8974173E-12
3.8901961E+0	101.35760E-12	3.8901961E+0	-245.56340E-9	2.6529189E-12	101.48388E-12	3.8901961E+0	-245.55919E-9	2.4779170E-12
3.9039216E+0	101.55300E-12	3.9039216E+0	-245.55740E-9	2.7835742E-12	101.32447E-12	3.9039216E+0	-245.55425E-9	2.9199668E-12
3.9176471E+0	101.35159E-12	3.9176471E+0	-245.54902E-9	2.8370810E-12	101.53331E-12	3.9176471E+0	-245.55007E-9	2.4365913E-12
3.9313726E+0	102.04446E-12	3.9313726E+0	-245.53498E-9	2.8675781E-12	101.28491E-12	3.9313726E+0	-245.54615E-9	3.0666062E-12
3.9450982E+0	101.35366E-12	3.9450979E+0	-245.52881E-9	2.8291701E-12	101.46856E-12	3.9450979E+0	-245.54149E-9	2.5596344E-12
3.9588234E+0	101.96005E-12	3.9588234E+0	-245.51966E-9	3.1286685E-12	101.39894E-12	3.9588234E+0	-245.53435E-9	3.8465182E-12
3.9725490E+0	101.17553E-12	3.9725490E+0	-245.51426E-9	3.3386852E-12	101.31086E-12	3.9725490E+0	-245.52688E-9	3.1452334E-12
3.9862745E+0	101.66795E-12	3.9862745E+0	-245.50644E-9	3.6801786E-12	101.40546E-12	3.9862745E+0	-245.51744E-9	3.4259505E-12
4.0000000E+0	101.35896E-12	4.0000000E+0	-245.49956E-9	3.2578087E-12	101.27100E-12	4.0000000E+0	-245.50448E-9	3.3907391E-12
